DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsFullReplicaFor,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,msDS-AuthenticatedAtDC,member,managedObjects,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDS-GenerationId,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dNSProperty,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,givenName,userPrincipalName,msDS-PSOApplied,msDS-MaximumPasswordAge,msDS-MinimumPasswordAge,msDS-MinimumPasswordLength,msDS-PasswordHistoryLength,msDS-PasswordComplexityEnabled,msDS-PasswordReversibleEncryptionEnabled,msDS-LockoutObservationWindow,msDS-LockoutDuration,msDS-LockoutThreshold,msDS-PSOAppliesTo,msDS-PasswordSettingsPrecedence,lastSetTime,priorSetTime,managedBy,msDS-KrbTgtLink,msDS-RevealedUsers,msDS-NeverRevealGroup,msDS-RevealOnDemandGroup,msDS-RevealedDSAs,msDS-AuthenticatedToAccountlist,msDS-SecondaryKrbTgtNumber,msDS-KrbTgtLinkBl,sn,l,department,company,gPCUserExtensionNames,uNCName,serverName,portName,driverName,priority,printStartTime,printEndTime,printBinNames,printMaxResolutionSupported,printOrientationsSupported,printCollate,printColor,printLanguage,printShareName,printSpooling,printKeepPrintedJobs,driverVersion,printMaxXExtent,printMaxYExtent,printMinXExtent,printMinYExtent,printStaplingSupported,printMemory,printRateUnit,printMediaReady,printNumberUp,printMediaSupported,printerName,url,shortServerName,printDuplexSupported,printAttributes,msDFS-SchemaMajorVersion,msDFS-SchemaMinorVersion,msDFS-GenerationGUIDv2,msDFS-NamespaceIdentityGUIDv2,msDFS-LastModifiedv2,msDFS-Ttlv2,msDFS-Propertiesv2,msDFS-TargetListv2,msDFSR-TombstoneExpiryInMin,msDFSR-Schedule,msDFSR-RootSizeInMb,msDFSR-StagingSizeInMb,msDFSR-ConflictPath,msDFSR-ConflictSizeInMb,msDFSR-CachePolicy,msDFSR-MinDurationCacheInMin,msDFSR-MaxAgeInCacheInMin,fromServer,msDFSR-RdcEnabled,msDFSR-RdcMinFileSizeInKb
"CN=NTDS Quotas,DC=csa,DC=local",msDS-QuotaContainer,"CN=NTDS Quotas,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5809,,,5809,NTDS Quotas,X'cf150bb92e13e34db0b0417728d4601a',,,,,,,,,,,,,,,,,,,,,,-2147483648,,"CN=ms-DS-Quota-Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514112941.0Z;20240514104644.0Z;16010101000416.0Z,,,,,,,,,,,,,,NTDS Quotas,Quota specifications container,TRUE,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Managed Service Accounts,DC=csa,DC=local",container,"CN=Managed Service Accounts,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5810,,,5810,Managed Service Accounts,X'6f0588f42a6c4748a6e71d596a8d21de',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514112941.0Z;20240514104644.0Z;16010101000416.0Z,,,,,,,,,,,,,,Managed Service Accounts,Default container for managed service accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Keys,DC=csa,DC=local",container,"CN=Keys,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5812,,,5812,Keys,X'033f0d2b89978847a5b1bab6325d4cb2',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514112941.0Z;20240514104644.0Z;16010101000000.0Z,,,,,,,,,,,,,,Keys,Default container for key objects,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=WinsockServices,CN=System,DC=csa,DC=local",container,"CN=WinsockServices,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5663,,,5663,WinsockServices,X'4dc2d6714f93a547b0d35ef6e543c9da',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,WinsockServices,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RpcServices,CN=System,DC=csa,DC=local",rpcContainer,"CN=RpcServices,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5664,,,5664,RpcServices,X'4132b7ca7d942e4a958bd7cf2c0e6ede',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Rpc-Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,RpcServices,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=FileLinks,CN=System,DC=csa,DC=local",fileLinkTracking,"CN=FileLinks,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5665,,,5665,FileLinks,X'2c5dcee4bdd0bc46b40a06e9e2793c01',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=File-Link-Tracking,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,FileLinks,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=VolumeTable,CN=FileLinks,CN=System,DC=csa,DC=local",linkTrackVolumeTable,"CN=VolumeTable,CN=FileLinks,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5666,,,5666,VolumeTable,X'fdf2a2fc9573ce4f98338674f185b60a',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Link-Track-Volume-Table,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000000.0Z,,,,,,,,,,,,,,VolumeTable,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ObjectMoveTable,CN=FileLinks,CN=System,DC=csa,DC=local",linkTrackObjectMoveTable,"CN=ObjectMoveTable,CN=FileLinks,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5667,,,5667,ObjectMoveTable,X'0a5bf422d47d2242b254e1d68be0c1d6',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Link-Track-Object-Move-Table,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,ObjectMoveTable,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Default Domain Policy,CN=System,DC=csa,DC=local",domainPolicy,"CN=Default Domain Policy,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5668,,,5668,Default Domain Policy,X'6ab9c82b0c606646898c30e7002dc588',,,,,,,,,,,,,,,,,,,,,,,,"CN=Domain-Policy,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,Default Domain Policy,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=AppCategories,CN=Default Domain Policy,CN=System,DC=csa,DC=local",classStore,"CN=AppCategories,CN=Default Domain Policy,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5669,,,5669,AppCategories,X'70e2afc046893040b7557c9788640be7',,,,,,,,,,,,,,,,,,,,,,,,"CN=Class-Store,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,AppCategories,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Meetings,CN=System,DC=csa,DC=local",container,"CN=Meetings,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5670,,,5670,Meetings,X'44ff42b1175f684593901ed1a52e725e',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,Meetings,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Policies,CN=System,DC=csa,DC=local",container,"CN=Policies,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5671,,,5671,Policies,X'780b227b82df4c4cb63dc8ec45ec4bbc',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,Policies,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=csa,DC=local",groupPolicyContainer,"CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514105042.0Z,,5672,,,12751,{31B2F340-016D-11D2-945F-00C04FB984F9},X'7c711adf7b0815418c96d0eec9a55364',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Group-Policy-Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000000.0Z,,,,,,,,,,,,,,{31B2F340-016D-11D2-945F-00C04FB984F9},,TRUE,,,Default Domain Policy,0,3,2,\\\\csa.local\\sysvol\\csa.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9},[{35378EAC-683F-11D2-A89A-00C04FBBCFA2}{53D6AB1B-2488-11D1-A28C-00C04FB94F17}][{827D319E-6EAC-11D2-A4EA-00C04F79F83A}{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}][{B1BE8D72-6EAC-11D2-A4EA-00C04F79F83A}{53D6AB1B-2488-11D1-A28C-00C04FB94F17}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=User,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=csa,DC=local",container,"CN=User,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5673,,,5673,User,X'3b43107e6cf0634a9ce0a24fdff6a47b',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,,User,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Machine,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=csa,DC=local",container,"CN=Machine,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5674,,,5674,Machine,X'ae1e2bf014cf4944999f9b5f640cd191',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,,Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=csa,DC=local",groupPolicyContainer,"CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5675,,,5675,{6AC1786C-016F-11D2-945F-00C04fB984F9},X'a9e21309e82f034f8a34d506e1b202ed',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Group-Policy-Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000000.0Z,,,,,,,,,,,,,,{6AC1786C-016F-11D2-945F-00C04fB984F9},,TRUE,,,Default Domain Controllers Policy,0,1,2,\\\\csa.local\\sysvol\\csa.local\\Policies\\{6AC1786C-016F-11D2-945F-00C04fB984F9},[{827D319E-6EAC-11D2-A4EA-00C04F79F83A}{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=User,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=csa,DC=local",container,"CN=User,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5676,,,5676,User,X'cb3babd7c6e0994fa4c5b07bcb28beaf',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,,User,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Machine,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=csa,DC=local",container,"CN=Machine,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5677,,,5677,Machine,X'314f5ccf4e3dfe4eaa285555ac477284',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,,Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RAS and IAS Servers Access Check,CN=System,DC=csa,DC=local",container,"CN=RAS and IAS Servers Access Check,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5678,,,5678,RAS and IAS Servers Access Check,X'2ef00775e87f8a4b858693887b7703a6',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,RAS and IAS Servers Access Check,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=File Replication Service,CN=System,DC=csa,DC=local",nTFRSSettings,"CN=File Replication Service,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5679,,,5679,File Replication Service,X'd2c6a4d8e1dcde4a9d2cbc36d1e95de4',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=NTFRS-Settings,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,File Replication Service,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Dfs-Configuration,CN=System,DC=csa,DC=local",dfsConfiguration,"CN=Dfs-Configuration,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5680,,,5680,Dfs-Configuration,X'ba426bb0d42c1b4e9f2920bb2fc0b379',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dfs-Configuration,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,Dfs-Configuration,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=IP Security,CN=System,DC=csa,DC=local",container,"CN=IP Security,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5681,,,5681,IP Security,X'5da072a28b2725418fc15cf1775e133f',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,IP Security,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=csa,DC=local",ipsecPolicy,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5682,,,5682,ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},X'6a7519ddb482ae40940179ec504bb841',,,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Policy,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},"For all IP traffic, always request security using Kerberos trust. Allow unsecured communication with clients that do not respond to request.",TRUE,,,,,,,,,Server (Request Security),{72385230-70FA-11D1-864C-14A300000000},598,X'632120224c4fd111863b00a0248d302104000000302a000000',"CN=ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=csa,DC=local","CN=ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=csa,DC=local;CN=ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=csa,DC=local;CN=ipsecNFA{72385232-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=csa,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=csa,DC=local",ipsecISAKMPPolicy,"CN=ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5683,,,5683,ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},X'bf41a7c98b9df646af8ec5c92944b29a',,,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-ISAKMP-Policy,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},,TRUE,,,,,,,,,,{72385231-70FA-11D1-864C-14A300000000},598,X'b820dc80c82ed111a89e00a0248d30214001000068d219511d07d311ad220060b0ecca170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000cdcd03000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd03000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd00',,,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=csa,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
