DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsTo,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,member,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,givenName,userPrincipalName,gPCUserExtensionNames
"CN=DC2,CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",msDFSR-Member,"CN=DC2,CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419065421.0Z,20240419070344.0Z,,12962,,,,12978,DC2,X'c3624cb7fe74ff45a74179dd2a614e05',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-Member,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,DC2,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN=NTDS Settings,CN=DC2,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local","CN=DC2,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local","CN=Domain System Volume,CN=DFSR-LocalSettings,CN=DC2,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,
"CN=DFSR-LocalSettings,CN=DC2,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",msDFSR-LocalSettings,"CN=DFSR-LocalSettings,CN=DC2,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",4,20240419065421.0Z,20240419070344.0Z,,12965,,,,12965,DFSR-LocalSettings,X'cfab7dde343de84ea6082d139c72ad64',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-LocalSettings,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419070344.0Z;16010101000000.0Z,,,,,,,,,,,,,DFSR-LocalSettings,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,1.0.0.0,,,,,,,,,,,,
"CN=Domain System Volume,CN=DFSR-LocalSettings,CN=DC2,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",msDFSR-Subscriber,"CN=Domain System Volume,CN=DFSR-LocalSettings,CN=DC2,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",4,20240419065421.0Z,20240419070344.0Z,,12966,,,,12975,Domain System Volume,X'bef44e7bb59d47468a337f9185e9845b',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-Subscriber,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,Domain System Volume,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'43b14906ecf06441a5311707ab9db717',"CN=DC2,CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,
"CN=SYSVOL Subscription,CN=Domain System Volume,CN=DFSR-LocalSettings,CN=DC2,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",msDFSR-Subscription,"CN=SYSVOL Subscription,CN=Domain System Volume,CN=DFSR-LocalSettings,CN=DC2,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",4,20240419065421.0Z,20240419070344.0Z,,12967,,,,12967,SYSVOL Subscription,X'f0d7a20ffdaed34a8707a0e07a5b3435',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-Subscription,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,SYSVOL Subscription,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'43b14906ecf06441a5311707ab9db717',,C:\\Windows\\SYSVOL\\domain,C:\\Windows\\SYSVOL\\staging areas\\Kredit.Dylan.local,TRUE,,X'9e2f3ca514b4a24ca5bfc423c8a7c0c4',FALSE,,,,
"CN=BCKUPKEY_871d72cc-aca3-4af4-8fa0-7db1c5557576 Secret,CN=System,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=BCKUPKEY_P Secret,CN=System,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=BCKUPKEY_50df81b3-00a9-4c30-a8ca-14a449f65850 Secret,CN=System,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=BCKUPKEY_PREFERRED Secret,CN=System,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=FS,CN=Computers,DC=Kredit,DC=Dylan,DC=local",computer,"CN=FS,CN=Computers,DC=Kredit,DC=Dylan,DC=local",4,20240419070024.0Z,20240419092519.0Z,,12972,,,,14059,FS,X'417b5da79ce46a4fad299a9b463d7bb5',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf335080000',,,,,,,,,,"CN=Computer,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",FALSE,,20240419092147.0Z;20240419092033.0Z;16010101000000.0Z,,,,,,,,,,,,,FS,,,,,,,,,,,,4096,,0,0,,,133579952095919432,133579836246184956,515,,9223372036854775807,6,FS$,805306369,133579836271326666,,,,0,Windows Server 2019 Standard Evaluation,10.0 (17763),,FS.Kredit.Dylan.local,,WSMAN/FS;WSMAN/FS.Kredit.Dylan.local;TERMSRV/FS;TERMSRV/FS.Kredit.Dylan.local;RestrictedKrbHost/FS;HOST/FS;RestrictedKrbHost/FS.Kredit.Dylan.local;HOST/FS.Kredit.Dylan.local,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Windows Virtual Machine,CN=FS,CN=Computers,DC=Kredit,DC=Dylan,DC=local",serviceConnectionPoint,"CN=Windows Virtual Machine,CN=FS,CN=Computers,DC=Kredit,DC=Dylan,DC=local",4,20240419070100.0Z,20240419070344.0Z,,12973,,,,12973,Windows Virtual Machine,X'e50f760a1a74304f8920a4812d473e9d',,,,,,,,,,,,,,,,,,,,,,,,"CN=Service-Connection-Point,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419092147.0Z;20240419092033.0Z;16010101000834.0Z,,,,,,,,,,,,,Windows Virtual Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=CL,CN=Computers,DC=Kredit,DC=Dylan,DC=local",computer,"CN=CL,CN=Computers,DC=Kredit,DC=Dylan,DC=local",4,20240419071501.0Z,20240419092147.0Z,,13036,,,,14019,CL,X'39d876943e1e284a95110119b4f5b166',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf352040000',,,,,,,,,,"CN=Computer,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",FALSE,,20240419092147.0Z;20240419092033.0Z;16010101000000.0Z,,,,,,,,,,,,,CL,,,,,,,,,,,,4096,0,0,0,0,0,133579936272573721,133579845018055432,515,,9223372036854775807,17,CL$,805306369,133579851544316866,,,,0,Windows 10 Enterprise Evaluation,10.0 (19045),,CL.Kredit.Dylan.local,,TERMSRV/CL;TERMSRV/CL.Kredit.Dylan.local;RestrictedKrbHost/CL;HOST/CL;RestrictedKrbHost/CL.Kredit.Dylan.local;HOST/CL.Kredit.Dylan.local,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Windows Virtual Machine,CN=CL,CN=Computers,DC=Kredit,DC=Dylan,DC=local",serviceConnectionPoint,"CN=Windows Virtual Machine,CN=CL,CN=Computers,DC=Kredit,DC=Dylan,DC=local",4,20240419072555.0Z,20240419072555.0Z,,13082,,,,13082,Windows Virtual Machine,X'4747119539fe8d46b3f2204c633e8c32',,,,,,,,,,,,,,,,,,,,,,,,"CN=Service-Connection-Point,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419092147.0Z;20240419092033.0Z;16010101000834.0Z,,,,,,,,,,,,,Windows Virtual Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OU=Kredit,DC=Kredit,DC=Dylan,DC=local",organizationalUnit,"OU=Kredit,DC=Kredit,DC=Dylan,DC=local",4,20240419073651.0Z,20240419095655.0Z,,13127,,,,14312,Kredit,X'b46fd613a7084c459a5fb3f6fcc194c5',,,,,,,,,,,,,,,,,,,,,,,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,"[LDAP://cn={76B81284-5B86-42A6-AEE9-98A4E43B9EA0},cn=policies,cn=system,DC=Kredit,DC=Dylan,DC=local\;0][LDAP://cn={E5CDB045-3E7C-4FF7-95C3-F0E05903E7F0},cn=policies,cn=system,DC=Kredit,DC=Dylan,DC=local\;0][LDAP://cn={48677AE7-09AB-4FF5-969C-46423B7D26BE},cn=policies,cn=system,DC=Kredit,DC=Dylan,DC=local\;0]",20240419073724.0Z;20240419073651.0Z;20240419073651.0Z;16010101000000.0Z,,,,,,,,,,,,,,,,Kredit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",organizationalUnit,"OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",4,20240419073724.0Z,20240419091350.0Z,,13135,,,,13947,Afdelinger,X'a1a715884705bc46a7e3665cc4f9ca88',,,,,,,,,,,,,,,,,,,,,,,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,"[LDAP://cn={973CDB2A-E357-4F70-8B69-6E63137F937A},cn=policies,cn=system,DC=Kredit,DC=Dylan,DC=local\;0]",20240419085724.0Z;20240419073744.0Z;20240419073724.0Z;20240419073724.0Z;16010101000000.0Z,,,,,,,,,,,,,,,,Afdelinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",organizationalUnit,"OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",4,20240419073744.0Z,20240419091252.0Z,,13139,,,,13925,IT,X'3691bab161700b4e96af3b430a96570f',,,,,,,,,,,,,,,,,,,,,,,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419091252.0Z;20240419091250.0Z;20240419085724.0Z;20240419073744.0Z;16010101181217.0Z,,,,,,,,,,,,,,,,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OU=Udlån,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",organizationalUnit,X'4f553d55646cc3a56e2c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',4,20240419073833.0Z,20240419073833.0Z,,13152,,,,13153,X'55646cc3a56e',X'5db4e99f7167f348b49eeed57681ea0f',,,,,,,,,,,,,,,,,,,,,,,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419085724.0Z;20240419073833.0Z;16010101000001.0Z,,,,,,,,,,,,,,,,X'55646cc3a56e',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Johannes Petersen,OU=Udlån,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",user,X'434e3d4a6f68616e6e657320506574657273656e2c4f553d55646cc3a56e2c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',,,,,,,,,,Johannes Petersen,X'326a36291aec1140987cd5dbfe232f8b',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf353040000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,Johannes Petersen,,,,Johannes Petersen,,,,,,,,,,0,0,,,,,513,,,,Johannes,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petersen,Johannes,Johannes@Kredit.Dylan.local,
"CN=Billy Gator,OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",user,"CN=Billy Gator,OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,Billy Gator,X'3721b49af3326b4b934c82e569889d04',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf354040000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,Billy Gator,,,,Billy Gator,,,,,,,,,,0,0,,,,,513,,,,Billy,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gator,Billy,Billy@Kredit.Dylan.local,
"CN=Malou Aamund,OU=IT Studentermedhjælper,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",user,X'434e3d4d616c6f752041616d756e642c4f553d49542053747564656e7465726d6564686ac3a66c7065722c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',,,,,,,,,,Malou Aamund,X'626f00033e479a4f814831f010ec8320',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf355040000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,Malou Aamund,,,,Malou Aamund,,,,,,,,,,0,0,,,,,513,,,,Malou,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aamund,Malou,Malou@Kredit.Dylan.local,
"CN=Thomas Borgen,OU=Indlån,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",user,X'434e3d54686f6d617320426f7267656e2c4f553d496e646cc3a56e2c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',,,,,,,,,,Thomas Borgen,X'1363d4aa3ae20241a115076d4bbb14b9',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf356040000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,Thomas Borgen,,,,Thomas Borgen,,,,,,,,,,0,0,,,,,513,,,,Thomas,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borgen,Thomas,Thomas@Kredit.Dylan.local,
"CN=Sanjay Shah,OU=Direktion,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",user,"CN=Sanjay Shah,OU=Direktion,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,Sanjay Shah,X'6bc0c9c1f1d6694b9d363f52a6139d9b',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf357040000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,Sanjay Shah,,,,Sanjay Shah,,,,,,,,,,0,0,,,,,513,,,,Sanjay,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shah,Sanjay,Sanjay@Kredit.Dylan.local,
"OU=IT Studentermedhjælper,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",organizationalUnit,X'4f553d49542053747564656e7465726d6564686ac3a66c7065722c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',4,20240419075028.0Z,20240419080244.0Z,,13270,,,,13494,X'49542053747564656e7465726d6564686ac3a66c706572',X'39f2e902e013d4409c3d46476510ce24',,,,,,,,,,,,,,,,,,,,,,,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419085724.0Z;20240419075433.0Z;16010101000001.0Z,,,,,,,,,,,,,,,,X'49542053747564656e7465726d6564686ac3a66c706572',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OU=Direktion,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",organizationalUnit,"OU=Direktion,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",4,20240419075112.0Z,20240419075112.0Z,,13276,,,,13277,Direktion,X'c594d735313c0649b1011871d4ef1b24',,,,,,,,,,,,,,,,,,,,,,,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419085724.0Z;20240419075112.0Z;16010101000001.0Z,,,,,,,,,,,,,,,,Direktion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OU=Indlån,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",organizationalUnit,X'4f553d496e646cc3a56e2c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',4,20240419075402.0Z,20240419075402.0Z,,13298,,,,13299,X'496e646cc3a56e',X'6af9adcdcf2c9549bb590778ba2215dd',,,,,,,,,,,,,,,,,,,,,,,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419085724.0Z;20240419075402.0Z;16010101000001.0Z,,,,,,,,,,,,,,,,X'496e646cc3a56e',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=G_IT,OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",group,"CN=G_IT,OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",4,20240419075535.0Z,20240419075635.0Z,,13321,,,,13346,G_IT,X'1fd928c4b23d53498b58f35bc52583fe',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf358040000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419091252.0Z;20240419091250.0Z;20240419085724.0Z;16010101181219.0Z,,,,,,,,,,,,,G_IT,,,,,,,,,,,"CN=DL_ProjektTexavation_R,OU=ProjektTaxevation,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local;CN=DL_ProjektLaundry_R,OU=ProjektLaundry,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local;CN=DL_IT_M,OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,G_IT,268435456,,"CN=Billy Gator,OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DL_IT_R,OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",group,"CN=DL_IT_R,OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",4,20240419075547.0Z,20240419075547.0Z,,13326,,,,13326,DL_IT_R,X'872b9b0c6e9ba5488e2cb902683c967f',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf359040000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419091252.0Z;20240419091250.0Z;20240419085724.0Z;16010101181219.0Z,,,,,,,,,,,,,DL_IT_R,,,,,,,,,,,,,,,,,,,,,,,,DL_IT_R,536870912,,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DL_IT_M,OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",group,"CN=DL_IT_M,OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",4,20240419075600.0Z,20240419075612.0Z,,13330,,,,13338,DL_IT_M,X'4946139c21b6f64cb56c56cc6bfc4db9',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf35a040000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419091252.0Z;20240419091250.0Z;20240419085724.0Z;16010101181219.0Z,,,,,,,,,,,,,DL_IT_M,,,,,,,,,,,,,,,,,,,,,,,,DL_IT_M,536870912,,"CN=G_IT,OU=IT,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DL_Udlån_M,OU=Udlån,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",group,X'434e3d444c5f55646cc3a56e5f4d2c4f553d55646cc3a56e2c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',4,20240419075703.0Z,20240419075827.0Z,,13350,,,,13384,X'444c5f55646cc3a56e5f4d',X'827b8f563fd6154fb068b1d2dccb5ad3',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf35b040000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419085724.0Z;16010101000001.0Z,,,,,,,,,,,,,X'444c5f55646cc3a56e5f4d',,,,,,,,,,,,,,,,,,,,,,,,X'444c5f55646cc3a56e5f4d',536870912,,X'434e3d475f55646cc3a56e2c4f553d55646cc3a56e2c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DL_Udlån_R,OU=Udlån,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",group,X'434e3d444c5f55646cc3a56e5f522c4f553d55646cc3a56e2c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',4,20240419075722.0Z,20240419075722.0Z,,13359,,,,13359,X'444c5f55646cc3a56e5f52',X'e37c3d174cb89740ad21567896d7468a',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf35c040000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419085724.0Z;16010101000001.0Z,,,,,,,,,,,,,X'444c5f55646cc3a56e5f52',,,,,,,,,,,,,,,,,,,,,,,,X'444c5f55646cc3a56e5f52',536870912,,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=G_Udlån,OU=Udlån,OU=Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local",group,X'434e3d475f55646cc3a56e2c4f553d55646cc3a56e2c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',4,20240419075742.0Z,20240419075827.0Z,,13367,,,,13381,X'475f55646cc3a56e',X'6bc55561409c7d46b088b5868619669d',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf35d040000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419085724.0Z;16010101000001.0Z,,,,,,,,,,,,,X'475f55646cc3a56e',,,,,,,,,,,X'434e3d444c5f55646cc3a56e5f4d2c4f553d55646cc3a56e2c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',,,,,,,,,,,,,X'475f55646cc3a56e',268435456,,X'434e3d4a6f68616e6e657320506574657273656e2c4f553d55646cc3a56e2c4f553d416664656c696e6765722c4f553d4b72656469742c44433d4b72656469742c44433d44796c616e2c44433d6c6f63616c',-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
